2e-10 2.94196e-09 -3.05686e-09 1.79995e-17
2.01e-10 3.32402e-09 -9.19417e-10 1.18944e-17
2.02e-10 3.66653e-09 9.73755e-10 1.43916e-17
2.03e-10 4.25522e-09 4.24202e-09 3.61016e-17
2.04e-10 1.00434e-08 3.66027e-08 1.44063e-15
2.05e-10 2.04501e-09 -8.13344e-09 7.03348e-17
2.06e-10 2.93486e-09 -3.11586e-09 1.8322e-17
2.07e-10 3.28342e-09 -1.05546e-09 1.18948e-17
2.08e-10 3.5454e-09 6.76149e-10 1.3027e-17
2.09e-10 3.85803e-09 3.14013e-09 2.47448e-17
2.1e-10 4.69803e-09 1.11874e-08 1.47228e-16
2.11e-10 1.76985e-09 -2.00926e-08 4.06844e-16
2.12e-10 3.27548e-09 -5.12431e-09 3.69873e-17
2.13e-10 3.64597e-09 -2.11494e-09 1.7766e-17
2.14e-10 3.9333e-09 -2.11225e-10 1.55155e-17
2.15e-10 4.29555e-09 1.88736e-09 2.20139e-17
2.16e-10 5.06653e-09 6.09546e-09 6.28243e-17
2.17e-10 1.76305e-08 7.384e-08 5.76318e-15
2.18e-10 2.15771e-09 -9.62447e-09 9.72861e-17
2.19e-10 3.20526e-09 -4.0346e-09 2.65517e-17
2.2e-10 3.63995e-09 -1.77052e-09 1.6384e-17
2.21e-10 3.98013e-09 -3.97879e-11 1.5843e-17
2.22e-10 4.38558e-09 2.0048e-09 2.32526e-17
2.23e-10 5.18534e-09 6.06756e-09 6.37031e-17
2.24e-10 1.27507e-08 4.49943e-08 2.18707e-15
2.25e-10 1.7752e-09 -1.16612e-08 1.39135e-16
2.26e-10 3.11978e-09 -4.81901e-09 3.29559e-17
2.27e-10 3.61751e-09 -2.35197e-09 1.86182e-17
2.28e-10 3.97086e-09 -6.4233e-10 1.61803e-17
2.29e-10 4.33821e-09 1.11764e-09 2.00692e-17
2.3e-10 4.89608e-09 3.80853e-09 3.84765e-17
2.31e-10 6.53649e-09 1.18452e-08 1.83035e-16
2.32e-10 -4.28499e-09 -4.17582e-08 1.76211e-15
2.33e-10 2.51248e-09 -8.22959e-09 7.40387e-17
2.34e-10 3.37241e-09 -4.07363e-09 2.79676e-17
2.35e-10 3.80919e-09 -2.01924e-09 1.85873e-17
2.36e-10 4.15801e-09 -4.12431e-10 1.74591e-17
2.37e-10 4.54016e-09 1.33733e-09 2.24015e-17
2.38e-10 5.12751e-09 4.05035e-09 4.26967e-17
2.39e-10 6.76206e-09 1.17208e-08 1.83102e-16
2.4e-10 -1.02562e-08 -6.90457e-08 4.8725e-15
2.41e-10 2.25302e-09 -9.8319e-09 1.01742e-16
2.42e-10 3.31439e-09 -4.89758e-09 3.49715e-17
2.43e-10 3.80908e-09 -2.65762e-09 2.1572e-17
2.44e-10 4.17354e-09 -1.04567e-09 1.85118e-17
2.45e-10 4.53276e-09 5.24761e-10 2.08213e-17
2.46e-10 4.99638e-09 2.55755e-09 3.15049e-17
2.47e-10 5.85634e-09 6.37897e-09 7.4988e-17
2.48e-10 9.62483e-09 2.33775e-08 6.39147e-16
2.49e-10 -1.03158e-09 -2.50151e-08 6.26822e-16
2.5e-10 2.65211e-09 -8.41335e-09 7.78182e-17
2.51e-10 3.51046e-09 -4.6253e-09 3.37167e-17
2.52e-10 3.97965e-09 -2.60979e-09 2.26486e-17
2.53e-10 4.34588e-09 -1.07249e-09 2.00369e-17
2.54e-10 4.71136e-09 4.43687e-10 2.23938e-17
2.55e-10 5.17085e-09 2.35356e-09 3.2277e-17
2.56e-10 5.94927e-09 5.62965e-09 6.70867e-17
2.57e-10 8.33198e-09 1.58155e-08 3.19553e-16
2.58e-10 -1.05606e-08 -6.57442e-08 4.43383e-15
2.59e-10 1.96046e-09 -1.18579e-08 1.44453e-16
2.6e-10 3.28793e-09 -6.2466e-09 4.98305e-17
2.61e-10 3.89311e-09 -3.76037e-09 2.92967e-17
2.62e-10 4.3112e-09 -2.09439e-09 2.29729e-17
2.63e-10 4.68134e-09 -6.53823e-10 2.23424e-17
