2e-10 8.54309e-08 0.000445253 7.30287e-08 4.11598e-05
2.00101e-10 9.22748e-08 0.00045247 7.99566e-08 0.000100352
2.00203e-10 9.64992e-08 0.00045244 8.4662e-08 0.000192767
2.00304e-10 9.76291e-08 0.000445177 8.6641e-08 0.000322457
2.00405e-10 9.53857e-08 0.000430922 8.55583e-08 0.00049167
2.00506e-10 8.97317e-08 0.000410144 8.12965e-08 0.00070048
2.00608e-10 8.09006e-08 0.000383516 7.39922e-08 0.000946546
2.00709e-10 6.94064e-08 0.000351898 6.40535e-08 0.00122502
2.0081e-10 5.60312e-08 0.000316309 5.21577e-08 0.00152864
2.00911e-10 4.17887e-08 0.000277893 3.92246e-08 0.00184795
2.01013e-10 2.78673e-08 0.000237884 2.63693e-08 0.00217175
2.01114e-10 1.55521e-08 0.000197563 1.48326e-08 0.00248761
2.01215e-10 6.13416e-09 0.000158221 5.89583e-09 0.00278256
2.01317e-10 8.09915e-10 0.000121108 7.84428e-10 0.00304383
2.01418e-10 5.80562e-10 8.73932e-05 5.66589e-10 0.00325956
2.01519e-10 6.15813e-09 5.81258e-05 6.05587e-09 0.00341957
2.0162e-10 1.78868e-08 3.41913e-05 1.77251e-08 0.00351598
2.01722e-10 3.56867e-08 1.62799e-05 3.564e-08 0.00354375
2.01823e-10 5.90271e-08 4.85665e-06 5.94183e-08 0.00350103
2.01924e-10 8.69321e-08 1.39702e-07 8.82219e-08 0.00338934
2.02025e-10 1.18023e-07 2.08584e-06 1.20783e-07 0.0032135
2.02127e-10 1.50593e-07 1.03853e-05 1.55464e-07 0.00298142
2.02228e-10 1.82719e-07 2.44658e-05 1.90359e-07 0.00270357
2.02329e-10 2.1239e-07 4.35065e-05 2.2341e-07 0.00239244
2.0243e-10 2.37656e-07 6.64623e-05 2.52557e-07 0.00206173
2.02532e-10 2.56787e-07 9.20975e-05 2.75894e-07 0.00172552
2.02633e-10 2.68411e-07 0.000119029 2.91816e-07 0.00139741
2.02734e-10 2.71643e-07 0.00014578 2.99168e-07 0.00108971
2.02836e-10 2.66178e-07 0.000170836 2.97346e-07 0.000812689
2.02937e-10 2.52334e-07 0.000192716 2.86377e-07 0.000574015
2.03038e-10 2.31049e-07 0.000210037 2.66935e-07 0.000378367
2.03139e-10 2.03816e-07 0.000221596 2.40313e-07 0.000227281
2.03241e-10 1.72571e-07 0.000226437 2.08327e-07 0.00011923
2.03342e-10 1.39517e-07 0.000223932 1.73168e-07 4.99514e-05
2.03443e-10 1.0692e-07 0.00021385 1.37216e-07 1.29782e-05
2.03544e-10 7.68829e-08 0.000196426 1.02806e-07 3.59681e-07
2.03646e-10 5.11166e-08 0.000172421 7.19993e-08 3.50688e-06
2.03747e-10 3.07464e-08 0.000143179 4.6358e-08 1.41051e-05
2.03848e-10 1.61759e-08 0.000110662 2.67657e-08 2.5022e-05
2.0395e-10 7.04541e-09 7.74878e-05 1.3325e-08 3.11398e-05
2.04051e-10 2.31479e-09 4.69426e-05 5.36093e-09 3.00417e-05
2.04152e-10 5.00351e-10 2.29856e-05 1.56273e-09 2.24893e-05
2.04253e-10 8.99868e-11 1.02335e-05 2.91938e-10 1.26428e-05
2.04355e-10 1.52172e-10 1.39296e-05 7.57314e-11 7.98849e-06
2.04456e-10 1.14545e-09 3.98951e-05 2.98373e-10 1.8961e-05
2.04557e-10 5.92259e-09 9.44616e-05 2.09136e-09 5.82681e-05
2.04658e-10 2.09105e-08 0.000184387 9.41069e-09 0.000139948
2.0476e-10 5.74323e-08 0.000316753 3.02757e-08 0.000278211
2.04861e-10 1.33124e-07 0.000498848 7.81293e-08 0.000486146
2.04962e-10 2.73384e-07 0.000738037 1.73267e-07 0.00077436
2.05064e-10 5.12781e-07 0.00104162 3.44262e-07 0.00114968
2.05165e-10 8.9634e-07 0.00141666 6.29321e-07 0.00161399
2.05266e-10 1.48061e-06 0.00186988 1.07746e-06 0.00216332
2.05367e-10 2.33442e-06 0.00240743 1.74945e-06 0.00278729
2.05469e-10 3.53925e-06 0.0030348 2.71839e-06 0.00346895
2.0557e-10 5.18909e-06 0.00375663 4.06982e-06 0.00418505
2.05671e-10 7.38981e-06 0.00457658 5.90141e-06 0.0049069
2.05772e-10 1.02578e-05 0.00549722 8.32196e-06 0.00560155
2.05874e-10 1.39181e-05 0.00651989 1.14499e-05 0.00623355
2.05975e-10 1.85017e-05 0.00764466 1.54109e-05 0.0067669
2.06076e-10 2.41425e-05 0.00887022 2.03351e-05 0.0071674
2.06177e-10 3.09733e-05 0.0101939 2.63539e-05 0.007405
2.06279e-10 3.91216e-05 0.0116114 3.35953e-05 0.00745624
2.0638e-10 4.87047e-05 0.0131174 4.218e-05 0.0073064
2.06481e-10 5.98249e-05 0.0147047 5.22165e-05 0.00695149
2.06583e-10 7.25644e-05 0.0163651 6.37955e-05 0.00639972
2.06684e-10 8.698e-05 0.0180888 7.69858e-05 0.0056724
2.06785e-10 0.000103099 0.0198651 9.18287e-05 0.00480435
2.06886e-10 0.000120913 0.0216817 0.000108334 0.00384346
2.06988e-10 0.000140377 0.0235257 0.000126475 0.00284965
2.07089e-10 0.000161406 0.025383 0.000146188 0.00189314
2.0719e-10 0.00018387 0.0272386 0.000167366 0.00105197
2.07291e-10 0.000207597 0.029077 0.00018986 0.00040908
2.07393e-10 0.000232371 0.0308821 0.00021348 4.87994e-05
2.07494e-10 0.000257938 0.0326372 0.000237992 5.30677e-05
2.07595e-10 0.000284003 0.0343256 0.000263125 0.000497428
2.07697e-10 0.000310238 0.0359305 0.000288572 0.00144701
