0.0010000 	 0.000000349 	 -140179.972199 	 1.248559 	 2.032407 	 -79140.987205 	 -61039.768842 
0.0020000 	 0.000002443 	 -70089.986014 	 1.985546 	 14.226852 	 -138496.727608 	 68394.500288 
0.0030000 	 -0.000006283 	 -46726.657248 	 -3.354858 	 -36.583334 	 158281.974409 	 -204975.403182 
0.0040000 	 -0.000005236 	 -35044.992836 	 -1.423303 	 -30.486111 	 74194.675504 	 -109210.605532 
0.0050000 	 0.000011868 	 -28035.994166 	 1.368963 	 69.101852 	 -107631.742598 	 79528.015543 
0.0060000 	 -0.000000873 	 -23363.328368 	 -0.091731 	 -5.081019 	 5495.901889 	 -28854.240969 
0.0070000 	 0.000013788 	 -20025.709924 	 0.845535 	 80.280093 	 -63797.326420 	 43692.181938 
0.0080000 	 -0.000009076 	 -17522.496076 	 -0.603642 	 -52.842593 	 32151.026052 	 -49621.283178 
0.0090000 	 0.000011170 	 -15575.551960 	 0.447307 	 65.037038 	 -31265.575192 	 15625.433501 
0.0100000 	 -0.000010996 	 -14017.996656 	 -0.466059 	 -64.020834 	 24929.410969 	 -38883.852851 
0.0110000 	 0.000016581 	 -12743.633215 	 0.432083 	 96.539353 	 -31067.742911 	 18228.002426 
0.0120000 	 -0.000013963 	 -11681.663671 	 -0.414222 	 -81.296297 	 21983.607557 	 -33584.389154 
0.0130000 	 -0.000015882 	 -10783.074049 	 -0.404360 	 -92.474538 	 21307.188863 	 -31998.192734 
0.0140000 	 -0.000012392 	 -10012.854364 	 -0.261089 	 -72.150464 	 14334.209417 	 -24275.174406 
0.0150000 	 -0.000016232 	 -9345.330630 	 -0.305123 	 -94.506945 	 16355.804022 	 -25606.932829 
0.0160000 	 -0.000011170 	 -8761.247355 	 -0.176188 	 -65.037038 	 9892.623401 	 -18589.009906 
0.0170000 	 -0.000008029 	 -8245.879753 	 -0.109211 	 -46.745371 	 6298.417667 	 -14497.661260 
0.0180000 	 0.000008378 	 -7787.775212 	 0.091289 	 48.777778 	 -5862.295348 	 -1974.166353 
0.0190000 	 -0.000015359 	 -7377.892195 	 -0.174079 	 -89.425927 	 9645.992900 	 -16934.633247 
0.0200000 	 -0.000001047 	 -7008.997474 	 -0.009801 	 -6.097222 	 593.557404 	 -7596.467457 
0.0210000 	 -0.000002967 	 -6675.235578 	 -0.025448 	 -17.275463 	 1525.393177 	 -8183.378741 
0.0220000 	 0.000015184 	 -6371.815668 	 0.108035 	 88.409723 	 -7112.877982 	 652.760627 
0.0230000 	 -0.000013614 	 -6094.780093 	 -0.102609 	 -79.263890 	 5834.590739 	 -11850.209552 
0.0240000 	 -0.000003142 	 -5840.830811 	 -0.020605 	 -18.291667 	 1236.577925 	 -7059.137674 
0.0250000 	 -0.000006981 	 -5607.197467 	 -0.042931 	 -40.648148 	 2532.511591 	 -8099.103840 
0.0260000 	 -0.000004712 	 -5391.535914 	 -0.026489 	 -27.437500 	 1580.478295 	 -6944.603198 
0.0270000 	 -0.000006981 	 -5191.849287 	 -0.036718 	 -40.648148 	 2171.220499 	 -7322.458356 
0.0280000 	 -0.000010821 	 -5006.425986 	 -0.053716 	 -63.004630 	 3129.299239 	 -8072.774311 
0.0290000 	 0.000016406 	 -4833.790496 	 0.068109 	 95.523149 	 -4422.861354 	 -506.384182 
0.0300000 	 0.000016057 	 -4672.664034 	 0.062501 	 93.490742 	 -4044.983790 	 -721.108484 
0.0310000 	 -0.000002094 	 -4521.932824 	 -0.008173 	 -12.194445 	 494.116465 	 -5003.863018 
0.0320000 	 -0.000017279 	 -4380.622311 	 -0.066867 	 -100.604168 	 3825.662956 	 -8105.747966 
0.0330000 	 -0.000005061 	 -4247.876068 	 -0.017604 	 -29.469908 	 1053.759701 	 -5272.183466 
0.0340000 	 -0.000004538 	 -4122.938425 	 -0.014834 	 -26.421297 	 889.993801 	 -4986.525763 
0.0350000 	 -0.000001745 	 -4005.140072 	 -0.005332 	 -10.162037 	 323.024438 	 -4318.007805 
0.0360000 	 0.000004363 	 -3893.886069 	 0.012357 	 25.405093 	 -763.319707 	 -3155.959098 
0.0370000 	 -0.000012392 	 -3788.645792 	 -0.035016 	 -72.150464 	 2052.231589 	 -5768.761934 
0.0380000 	 -0.000009250 	 -3688.944475 	 -0.024518 	 -53.858797 	 1452.379613 	 -5087.489809 
0.0390000 	 -0.000012566 	 -3594.356043 	 -0.031913 	 -73.166667 	 1873.159460 	 -5394.380749 
0.0400000 	 -0.000007854 	 -3504.497029 	 -0.018685 	 -45.729167 	 1112.920133 	 -4571.706680 
0.0410000 	 0.000013439 	 -3419.021379 	 0.028664 	 78.247686 	 -1812.568713 	 -1684.671687 
0.0420000 	 -0.000002094 	 -3337.615996 	 -0.004444 	 -12.194445 	 269.187031 	 -3594.613026 
0.0430000 	 0.000015708 	 -3259.996907 	 0.030331 	 91.458334 	 -1926.092171 	 -1425.332738 
0.0440000 	 -0.000014661 	 -3185.905955 	 -0.029288 	 -85.361112 	 1716.901582 	 -4817.475714 
0.0450000 	 -0.000011868 	 -3115.107932 	 -0.022485 	 -69.101852 	 1328.786946 	 -4374.815511 
0.0460000 	 -0.000015184 	 -3047.388082 	 -0.027744 	 -88.409723 	 1626.953187 	 -4585.959290 
0.0470000 	 0.000009774 	 -2982.549925 	 0.016080 	 56.907408 	 -1003.145152 	 -2036.296101 
0.0480000 	 -0.000015533 	 -2920.413356 	 -0.026046 	 -90.442130 	 1528.547713 	 -4358.544984 
0.0490000 	 0.000008901 	 -2860.812971 	 0.013513 	 51.826389 	 -840.522771 	 -2072.103075 
